"name","weight","rank"
"Guy",0.0542002185172174,0
"René",0.0519237580691573,0
"André",0.0457310630116452,0
"Pierre",0.0415261931886639,95
"Paul",0.0367500982404706,13
"Michel",0.0367340402018711,0
"Louis",0.0276516327222302,5
"Alain",0.0274714992179131,0
"Eric",0.0250703821348923,0
"Roger",0.0210016958987247,0
"Henri",0.0196014252832241,227
"Marc",0.0161253271478191,301
"Marcel",0.0157802842368064,211
"Yves",0.0153665353213193,0
"Daniel",0.0141399309973945,172
"Robert",0.013419952755388,0
"David",0.0132114963175099,91
"Claude",0.0130660270715355,0
"Jacques",0.0118587250518494,495
"Gérard",0.011560291177048,0
"Bernard",0.0113766184474267,0
"Joseph",0.0112882331926045,79
"Philippe",0.0106298829670814,0
"Léo",0.0105706289123484,8
"Julien",0.00995839090582347,176
"Georges",0.00909746179947428,332
"Nicolas",0.00907269885376938,138
"Patrick",0.00878481028058921,0
"Pascal",0.00844514436554052,0
"Tom",0.00844386853445746,17
"Bruno",0.00788122103223923,0
"Joël",0.00782931443562611,0
"Serge",0.00780856244649471,0
"Thomas",0.00712393335224774,42
"Maurice",0.00692856291376564,0
"François",0.00676815761366409,0
"Hugo",0.00668958346733929,7
"Laurent",0.00665933965742244,0
"Luc",0.00652038816049952,387
"Didier",0.0057123601414339,0
"Léon",0.0055435809007685,49
"Thierry",0.0055127625731452,0
"Christian",0.00551123662420448,0
"Olivier",0.00523478937395333,418
"Théo",0.00523441038637118,22
"Emile",0.00511697153405718,215
"Frédéric",0.00505207661376068,0
"Raymond",0.00504350183166499,0
"Antoine",0.00502651455246278,27
"Maxime",0.00495548309061713,29
"Enzo",0.00491793882792031,19
"Lucas",0.00490577719543725,4
"Lucien",0.00489506679331245,139
"Loïc",0.00476116721662599,241
"Stéphane",0.00460739806621497,0
"Albert",0.00455822937276372,0
"Denis",0.00454425176047023,0
"Kevin",0.00453608617742322,318
"Jules",0.00420476485753151,2
"Charles",0.00413158755659874,110
"Romain",0.00413036176670257,136
"Christophe",0.00402994231035422,0
"Hervé",0.00396770446351989,0
"Vincent",0.00395147046199654,332
"Jerome",0.0038699698413747,0
"Rémi",0.00374838988805202,322
"Franck",0.00370614969799611,0
"Gilles",0.00363699588508626,0
"Sébastien",0.00357536552067675,0
"Yann",0.00348068380462745,177
"Alexandre",0.00346016530057962,43
"Max",0.0030148567689257,263
"Axel",0.00294025000846142,26
"Rémy",0.00281086914132515,0
"Alexis",0.00275127017144283,53
"Gilbert",0.0027050754961175,0
"Dominique",0.00254101258424395,0
"Anthony",0.00253947462928724,241
"Gabriel",0.00243413680475231,1
"Arnaud",0.00243216332363753,0
"Adrien",0.00243153822742057,74
"Cedric",0.00242898404318728,0
"Clément",0.00239900974063399,30
"Francis",0.00239517974428145,0
"Roland",0.0023825681953168,0
"Guillaume",0.00223790086893901,335
"Damien",0.0022021802927808,364
"Benoît",0.00219773809107475,0
"Victor",0.00209277686170742,28
"Mathieu",0.00207730593541258,159
"Jeremy",0.00199834334785463,0
"Cyril",0.00199494164329313,0
"José",0.00190732922333232,0
"Simon",0.0018790606016944,46
"Xavier",0.00186241739729829,0
"Fabien",0.00182316943256541,0
"Patrice",0.00181580206023742,0
"Arthur",0.00181520047744471,12
"Adam",0.00179109355641779,3
"Sylvain",0.00176866808698619,0
"Noa",0.00174753456031767,66
"Fabrice",0.00174473094597965,0
"Eugène",0.00170247598676625,0
"Nathan",0.00164207354363579,11
"Noël",0.00163895102894696,0
"Florian",0.00160335754164428,308
"Tony",0.00160154120626079,224
"Ludovic",0.0016012574658532,0
"Quentin",0.00159898814598048,101
"Raphaël",0.00158481037769191,6
"Benjamin",0.00153516968807346,82
"Ali",0.0015161534724718,93
"Noah",0.00145248010777447,18
"Fernand",0.00144544541270019,0
"Gaston",0.00138352630286676,312
"Lionel",0.00138352630286676,0
"Jacky",0.00138311345596045,0
"Emmanuel",0.00133179532495859,234
"Noe",0.00130428886277842,286
"Dylan",0.00129881645001209,135
"Mickael",0.00127489928468477,0
"Samuel",0.00124106133910924,44
"Elie",0.0012282476213263,233
"Regis",0.00114242960982089,0
"Yvon",0.00114235918525782,0
"Aime",0.00106760616721376,0
"Evan",0.00106578896547097,41
"Marius",0.00104880297824941,39
"Mathis",0.0010281526423278,25
"Yanis",0.00100737625510995,33
"Ethan",0.000937700726411867,9
"Jonathan",0.000912664468107347,315
"Valentin",0.000910234656684782,38
"Yannick",0.000898183038700907,0
"Etienne",0.000864360239732213,379
"Richard",0.000857807528919973,0
"Baptiste",0.000836994583913493,31
"Alfred",0.000833581242891789,0
"Hubert",0.000833048724654056,0
"Mohamed",0.000829757241155389,23
"Michael",0.000824415010670343,0
"Auguste",0.000818267534602305,158
"Gregory",0.000806154115900127,0
"Armand",0.000805195016887713,162
"Félix",0.000799367141644096,232
"Mael",0.000783800065135631,152
"Edouard",0.00076003290821874,225
"Robin",0.000759393612137622,37
"William",0.000712067014749157,77
"Alex",0.000709808680675609,182
"Camille",0.000703953968507352,62
"Mehdi",0.000696688803280551,133
"Martin",0.000691910578252003,32
"Sacha",0.000675560049041969,16
"Yoann",0.000660695308593589,0
"Florent",0.000646863882130495,449
"Gael",0.00063687790995049,0
"Edmond",0.000628463191614543,0
"Yvan",0.000622810855605277,0
"Jordan",0.000619947994567344,225
"Matthieu",0.000618328807200515,237
"Nolan",0.000602556177601718,14
"Ernest",0.000596897756195975,317
"Aurélien",0.000596568798374712,343
"Gaëtan",0.000582525958680949,278
"Erwan",0.000568316035858057,141
"Noé",0.000566196883862314,34
"Karim",0.000561566280740603,367
"Eddy",0.000536829432258931,0
"Liam",0.0005225377131124,10
"Abel",0.000513804425304603,143
"Jimmy",0.00050843964271623,412
"Mathéo",0.000486565036080003,45
"Bertrand",0.000470672088385087,0
"Johan",0.000465681678059752,170
"Maxence",0.000463611229146488,40
"Rayan",0.0004594088714707,35
"Gabin",0.000436094058831854,20
"Bastien",0.000430592360436389,112
"Raoul",0.000414733969759119,0
"Ugo",0.000408240046073076,322
"Rudy",0.000400528320650912,0
"Alan",0.000389909088703635,283
"Corentin",0.000368871164539595,157
"Brice",0.00036060194992973,0
"Manuel",0.000342285224371683,0
"Marie",0.000337663335221933,0
"Maël",0.000336659924917245,15
"Dany",0.000327952872507113,495
"Thibault",0.000326012866214714,106
"Ange",0.000323253376619566,247
"Ryan",0.000322865084301232,151
"Alban",0.000311919228381929,154
"Steven",0.000298827088550603,0
"Téo",0.00029766582671031,235
"Dorian",0.0002928479653753,217
"James",0.000291801745076767,207
"Tristan",0.000287266571982819,139
"Samy",0.000286989243043561,159
"Yohan",0.000286669359083099,389
"Mattéo",0.00028440692195163,128
"Gérald",0.000284380340623359,0
"Yoan",0.000282017922261966,0
"Bryan",0.000277778642174404,245
"Teddy",0.000271438178405773,0
"Dimitri",0.000261044086647768,308
"Antonin",0.000257878229287796,80
"Morgan",0.000251376064114254,193
"Cyrille",0.000250310498123046,0
"Mathias",0.000248427793348838,108
"Martial",0.000247280149993194,0
"Steve",0.000244882278716035,0
"Thibaut",0.000243353079471681,262
"Lenny",0.000241434330426894,47
"Alphonse",0.000240905969738383,0
"Leo",0.000234654000613163,117
"Amine",0.000234521045895495,76
"John",0.000230378893398448,0
"Malo",0.000228967932916032,58
"Gustave",0.000227796810267955,239
"Jack",0.000227337802969184,0
"Luca",0.000225047401327633,163
"Jason",0.000219497551100016,297
"Noam",0.000214026324333099,60
"Aaron",0.000211324073060222,24
"Oscar",0.000209656995434905,70
"Germain",0.000208652470268982,0
"Ahmed",0.000204332972908255,146
"Sami",0.000204094942822365,228
"Kylian",0.00020284680328553,86
"Hugues",0.0002018856980854,0
"Lilian",0.000198610478130059,148
"Timéo",0.000198221481189826,21
"Willy",0.000191628157063781,0
"Nino",0.000188869457392427,56
"Renaud",0.000188765106424472,0
"Augustin",0.000187132786810594,48
"Farid",0.000184066271583141,0
"Mathys",0.000180868088069942,64
"Allan",0.00017255527550474,0
"Ilan",0.000171925566833728,153
"Andy",0.000171745791067127,312
"Yohann",0.000169101393800468,0
"Tim",0.00016296986741395,209
"Jérôme",0.0001622859086024,0
"Said",0.000161492838072835,0
"Samir",0.000161162774427714,0
"Mario",0.000159377020490758,0
"Matéo",0.000158136773734285,179
"Jeremie",0.000155268973434155,0
"Norbert",0.000154730498745994,0
"Timeo",0.000154449928788056,207
"Ronan",0.000152243144481394,0
"Boris",0.000149989698171593,0
"Joris",0.000149660517145703,357
"Justin",0.000147174460494479,268
"Esteban",0.000146762771897815,67
"Diego",0.000146310997627856,102
"Loan",0.000145587424060916,134
"Yan",0.000141060719134938,0
"Ewen",0.000140072935564297,119
"Sam",0.000140051944041144,332
"Ilyes",0.000139632333877106,68
"Karl",0.000137206888760788,451
"Omar",0.000134236463384322,217
"Lorenzo",0.000131197406907516,63
"Emilien",0.000129083503821753,389
"Johann",0.000128299861632121,0
"Désiré",0.000127688748883274,0
"Davy",0.000126124685206917,0
"Charly",0.000125476577138188,144
"Geoffrey",0.000124735322893609,0
"Rachid",0.000124567060288892,0
"Eden",0.000124385421734279,36
"Cédric",0.000123458427950383,0
"Ivan",0.00012253374851248,0
"Loris",0.000122353104166378,144
"Eloi",0.000122132437308669,461
"Kamel",0.000121297783071618,0
"Sofiane",0.00012117508313634,173
"Ayoub",0.000120378543324199,73
"Jackie",0.000120062677965227,0
"Tanguy",0.000119564506758056,0
"Nael",0.000118004744510321,120
"Kévin",0.000117740495685022,443
"Amaury",0.000115082680900463,155
"Ruben",0.000114414852767225,96
"Mikael",0.000114316752065114,0
"Antony",0.000114257905109072,0
"Amir",0.00011417945821404,69
"Juan",0.000114061821550609,0
"Luka",0.000113493814507102,164
"Killian",0.000112958014906627,474
"Aymeric",0.000112778301003666,389
"Eliott",0.000111532706204586,52
"Bilal",0.000111159992623895,180
"Grégoire",0.000111023974851283,357
"Dan",0.000110668001023902,0
"Anis",0.00010981522018201,167
"Christopher",0.000109325223566262,0
"Marceau",0.00010844764250903,71
"Jessy",0.000106911804927422,412
"Mike",0.00010648364252688,0
"Freddy",0.000105059518317226,0
"Hamza",0.000104999126802016,113
"Luis",0.000103736747877683,253
"Nabil",0.000102542526811306,0
"Logan",0.000102441640505939,123
"Antonio",0.000100040333886799,383
"Romuald",9.93506088872884e-05,0
"Tiago",9.87197597798047e-05,50
"Jérémy",9.82966221189834e-05,417
"Owen",9.77375193759917e-05,100
"Elias",9.76134187554182e-05,124
"Titouan",9.73951293575289e-05,147
"Adem",9.67152628014168e-05,92
"Adel",9.66039607987554e-05,272
"Rodolphe",9.62209143981967e-05,0
"Alix",9.61221460891916e-05,367
"Moise",9.45525983546194e-05,0
"Kenzo",9.4478949701603e-05,72
"Johnny",9.40650326543971e-05,0
"Julian",9.37710604216603e-05,114
"Henry",9.30222105077885e-05,0
"Frank",9.26317713284439e-05,0
"Walid",8.97089286004793e-05,263
"Pablo",8.90583125412588e-05,131
"Malik",8.74626175557372e-05,251
"Yassine",8.64669257926808e-05,130
"Yacine",8.54518954815698e-05,206
"Gil",8.49983029994481e-05,0
"Nassim",8.38191976143522e-05,118
"Arsene",8.20740402786139e-05,0
"Anas",8.19247748631672e-05,115
"Isaac",8.15622330659558e-05,60
"Louka",8.06058394886658e-05,84
"Gaspard",8.03359332309024e-05,54
"Tao",8.03150048454384e-05,266
"Miguel",8.01145333518188e-05,373
"Yannis",8.01145333518188e-05,425
"Milo",7.89585659543201e-05,83
"Younes",7.86552959496756e-05,90
"Rafael",7.53622017920856e-05,85
"Adolphe",7.46768920310169e-05,0
"Youssef",7.4119281836987e-05,81
"Soan",7.26638872122662e-05,75
"Joan",7.16038479720918e-05,338
"Eliot",7.09279299630757e-05,180
"Naël",7.08498625899452e-05,55
"Nils",7.05490141681995e-05,295
"Hakim",7.03153161567403e-05,0
"Leny",6.86039357884907e-05,244
"Amar",6.85046776320374e-05,0
"Pierrick",6.77343071918459e-05,0
"Pol",6.76629202566196e-05,0
"Ismael",6.75394252578754e-05,203
"Loïs",6.70215682426555e-05,251
"Gino",6.65623676345842e-05,0
"Ewan",6.6120564812023e-05,399
"Timothée",6.46225482923151e-05,132
"Thibaud",6.42595493552691e-05,0
"Lyam",6.38616848223872e-05,51
"Angelo",6.38212975611946e-05,268
"Kaïs",6.38132211309942e-05,64
"Salim",6.32755616591257e-05,274
"Stanislas",6.22322601355706e-05,380
"Leopold",6.16802293004696e-05,0
"Flavien",6.14759197635136e-05,0
"Basile",6.06339474960737e-05,121
"Omer",6.02611578394929e-05,0
"Ibrahim",5.93506743840018e-05,59
"Marvin",5.90135834308682e-05,394
"Gaël",5.80092885548535e-05,214
"Kais",5.70107562533728e-05,353
"Lukas",5.67361390946593e-05,221
"Roman",5.64464582098185e-05,272
"Octave",5.62579145931968e-05,256
"Cesar",5.60025546417931e-05,0
"Elio",5.57553029685392e-05,116
"Mahé",5.57089838924623e-05,129
"Achille",5.53851099038668e-05,174
"Gauthier",5.46574207015125e-05,190
"Milan",5.46369689071823e-05,78
"Joachim",5.40775835848945e-05,303
"Noham",5.39940451121574e-05,86
"Gary",5.38057323656574e-05,0
"Brian",5.35769991054077e-05,0
"Roméo",5.35668407235434e-05,187
"Melvin",5.33409828853164e-05,349
"Carlos",5.32193040258462e-05,0
"Issa",5.30293663426285e-05,110
"Edgar",5.29585143241078e-05,263
"Come",5.29079250751802e-05,0
"Jim",5.28775792625796e-05,0
"Rayane",5.23550285179165e-05,219
"Kilian",5.20830808458001e-05,0
"Mickaël",5.19337109752183e-05,451
"Stephan",5.1548125245708e-05,0
"Lou",5.11574963679279e-05,435
"Angel",5.09675491035971e-05,330
"Jocelyn",4.98248921315679e-05,0
"Marco",4.952573525623e-05,415
"Carl",4.927854357157e-05,0
"Steeve",4.9219278941059e-05,0
"Matthias",4.8780475698719e-05,365
"Reda",4.86131890831278e-05,0
"Clovis",4.84878498915384e-05,359
"Constant",4.81075797728153e-05,0
"Jonas",4.77845246314962e-05,169
"Fabio",4.77063175632462e-05,285
"Theo",4.7686772469142e-05,213
"Lino",4.73500401682926e-05,183
"Sasha",4.64511423040495e-05,98
"Adil",4.63155939675987e-05,418
